data_element,number_of_records,number_of_inactive_records,percent_of_inactive_records,population,start_date,end_date,question
Contact (Adults and Heads of Household in Street Outreach or ES - NBN),60,56,0.93,data_quality,2020-11-01,2020-11-30,Q6f
Bed Night (All clients in ES - NBN),1,1,1.0,data_quality,2020-11-01,2020-11-30,Q6f
