, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1275,834,413,18,10
"""Hispanic/Latin(a)(o)(x)""",141,49,86,6,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",8,3,2,0,3
"""Total""",1425,886,502,24,13
