"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",424,254,170
"""31 to 60 days""",131,10,121
"""61 to 90 days""",109,10,99
"""91 to 180 days""",82,7,75
"""181 to 365 days""",87,4,83
"""366 to 730 Days (1-2 Yrs)""",222,0,222
"""731 to 1,095 Days (2-3 Yrs)""",207,0,207
"""1,096 to 1,460 Days (3-4 Yrs)""",77,0,77
"""1,461 to 1,825 Days (5-5 Yrs)""",26,0,26
"""More than 1,825 Days (>5 Yrs)""",60,1,59
"""Data Not Collected""",0,0,0
"""Total""",1425,286,1139
