"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",279,221
"""1-3 days""",15,13
"""4-6 days""",16,4
"""7-10 days""",14,6
"""11+ days""",59,42
