"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",32,18,14
"""31 to 60 days""",6,1,5
"""61 to 90 days""",9,0,9
"""91 to 180 days""",15,2,13
"""181 to 365 days""",3,0,3
"""366 to 730 Days (1-2 Yrs)""",11,0,11
"""731 to 1,095 Days (2-3 Yrs)""",8,0,8
"""1,096 to 1,460 Days (3-4 Yrs)""",3,0,3
"""1,461 to 1,825 Days (5-5 Yrs)""",0,0,0
"""More than 1,825 Days (>5 Yrs)""",6,0,6
"""Data Not Collected""",0,0,0
"""Total""",93,21,72
