"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",18,0.09
"""Income and Sources (4.2) at Start""",279,0.23
"""Income and Sources (4.2) at Annual Assessment""",349,0.79
"""Income and Sources (4.2) at Exit""",75,0.44
