, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1388,917,436,22,13
"""Hispanic/Latin(a)(o)(x)""",146,52,88,6,0
"""Client Doesn't Know/Client Refused""",7,6,1,0,0
"""Data Not Collected""",10,3,3,1,3
"""Total""",1551,978,528,29,16
