age_group,total_parenting_youth,total_children_of_parenting_youth,total_persons,total_households,population,start_date,end_date,question
Parent youth < 18,0,0,0,0,parenting_youth,2015-06-01,2015-06-30,Q27b
Parent youth 18 to 24,12,19,31,10,parenting_youth,2015-06-01,2015-06-30,Q27b
