count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,103,26,46,exit,2015-06-01,2015-06-30,Q13b2,without_children,31
None,103,26,46,exit,2015-06-01,2015-06-30,Q13b2,with_only_children,0
None,103,26,46,exit,2015-06-01,2015-06-30,Q13b2,unknown_household_type,0
1 Condition,40,10,3,exit,2015-06-01,2015-06-30,Q13b2,without_children,27
1 Condition,40,10,3,exit,2015-06-01,2015-06-30,Q13b2,with_only_children,0
1 Condition,40,10,3,exit,2015-06-01,2015-06-30,Q13b2,unknown_household_type,0
2 Conditions,14,3,1,exit,2015-06-01,2015-06-30,Q13b2,without_children,10
2 Conditions,14,3,1,exit,2015-06-01,2015-06-30,Q13b2,with_only_children,0
2 Conditions,14,3,1,exit,2015-06-01,2015-06-30,Q13b2,unknown_household_type,0
3+ Conditions,11,1,0,exit,2015-06-01,2015-06-30,Q13b2,without_children,10
3+ Conditions,11,1,0,exit,2015-06-01,2015-06-30,Q13b2,with_only_children,0
3+ Conditions,11,1,0,exit,2015-06-01,2015-06-30,Q13b2,unknown_household_type,0
Condition Unknown,1,0,1,exit,2015-06-01,2015-06-30,Q13b2,without_children,0
Condition Unknown,1,0,1,exit,2015-06-01,2015-06-30,Q13b2,with_only_children,0
Condition Unknown,1,0,1,exit,2015-06-01,2015-06-30,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-06-01,2015-06-30,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-06-01,2015-06-30,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2015-06-01,2015-06-30,Q13b2,unknown_household_type,0
Data Not Collected,0,0,0,exit,2015-06-01,2015-06-30,Q13b2,without_children,0
Data Not Collected,0,0,0,exit,2015-06-01,2015-06-30,Q13b2,with_only_children,0
Data Not Collected,0,0,0,exit,2015-06-01,2015-06-30,Q13b2,unknown_household_type,0
