, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",983,631,329,13,10
"""Hispanic/Latin(a)(o)(x)""",94,41,51,2,0
"""Client Doesn't Know/Client Refused""",3,2,1,0,0
"""Data Not Collected""",5,1,1,0,3
"""Total""",1085,675,382,15,13
