"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",43,0.2
"""Income and Sources (4.2) at Start""",166,0.2
"""Income and Sources (4.2) at Annual Assessment""",159,0.74
"""Income and Sources (4.2) at Exit""",61,0.33
