, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""January""",0,0,0,0,0
"""April""",895,538,330,15,12
"""July""",0,0,0,0,0
"""October""",0,0,0,0,0
