"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",22,11,11
"""31 to 60 days""",4,1,3
"""61 to 90 days""",1,0,1
"""91 to 180 days""",7,1,6
"""181 to 365 days""",8,1,7
"""366 to 730 Days (1-2 Yrs)""",13,0,13
"""731 to 1,095 Days (2-3 Yrs)""",2,0,2
"""1,096 to 1,460 Days (3-4 Yrs)""",5,0,5
"""1,461 to 1,825 Days (5-5 Yrs)""",0,0,0
"""More than 1,825 Days (>5 Yrs)""",0,0,0
"""Data Not Collected""",0,0,0
"""Total""",62,14,48
