"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",116,90
"""1-3 days""",7,12
"""4-6 days""",18,6
"""7-10 days""",29,1
"""11+ days""",141,108
