"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",70,0.39
"""Income and Sources (4.2) at Start""",61,0.15
"""Income and Sources (4.2) at Annual Assessment""",81,0.91
"""Income and Sources (4.2) at Exit""",19,0.14
