"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",104,58
"""1-3 days""",26,3
"""4-6 days""",7,4
"""7-10 days""",8,20
"""11+ days""",83,95
