"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",135,162
"""1-3 days""",23,22
"""4-6 days""",10,12
"""7-10 days""",9,6
"""11+ days""",27,37
