, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1057,712,316,19,10
"""Hispanic/Latin(a)(o)(x)""",93,40,51,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",9,4,2,0,3
"""Total""",1160,756,370,21,13
