"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",34,0.14
"""Income and Sources (4.2) at Start""",188,0.21
"""Income and Sources (4.2) at Annual Assessment""",297,0.83
"""Income and Sources (4.2) at Exit""",79,0.41
