"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",45,0.21
"""Income and Sources (4.2) at Start""",173,0.18
"""Income and Sources (4.2) at Annual Assessment""",243,0.81
"""Income and Sources (4.2) at Exit""",58,0.3
