"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",134,136
"""1-3 days""",24,8
"""4-6 days""",21,2
"""7-10 days""",18,9
"""11+ days""",59,61
