, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1120,734,361,14,11
"""Hispanic/Latin(a)(o)(x)""",98,43,53,2,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",7,2,2,0,3
"""Total""",1226,779,417,16,14
