, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""White""",821,555,251,9,6
"""Black, African American, or African""",278,174,98,4,2
"""Asian or Asian American""",10,2,5,0,3
"""American Indian, Alaska Native, or Indigenous""",7,5,2,0,0
"""Native Hawaiian or Pacific Islander""",6,3,3,0,0
"""Multiple Races""",87,33,51,3,0
"""Client Doesn't Know/Client Refused""",5,5,0,0,0
"""Data Not Collected""",12,2,7,0,3
"""Total""",1226,779,417,16,14
