, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",461,220,231,10,0
"""Hispanic/Latin(a)(o)(x)""",37,11,24,2,0
"""Client Doesn't Know/Client Refused""",1,0,0,1,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",500,231,255,13,1
