"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",1,0.02
"""Income and Sources (4.2) at Start""",42,0.12
"""Income and Sources (4.2) at Annual Assessment""",49,0.56
"""Income and Sources (4.2) at Exit""",2,0.05
