"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",34,22
"""1-3 days""",8,9
"""4-6 days""",10,2
"""7-10 days""",8,5
"""11+ days""",58,25
