count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,142,32,63,exit,2016-12-01,2016-12-31,Q13b2,without_children,47
None,142,32,63,exit,2016-12-01,2016-12-31,Q13b2,with_only_children,0
None,142,32,63,exit,2016-12-01,2016-12-31,Q13b2,unknown_household_type,0
1 Condition,35,10,9,exit,2016-12-01,2016-12-31,Q13b2,without_children,16
1 Condition,35,10,9,exit,2016-12-01,2016-12-31,Q13b2,with_only_children,0
1 Condition,35,10,9,exit,2016-12-01,2016-12-31,Q13b2,unknown_household_type,0
2 Conditions,12,4,3,exit,2016-12-01,2016-12-31,Q13b2,without_children,5
2 Conditions,12,4,3,exit,2016-12-01,2016-12-31,Q13b2,with_only_children,0
2 Conditions,12,4,3,exit,2016-12-01,2016-12-31,Q13b2,unknown_household_type,0
3+ Conditions,7,1,0,exit,2016-12-01,2016-12-31,Q13b2,without_children,6
3+ Conditions,7,1,0,exit,2016-12-01,2016-12-31,Q13b2,with_only_children,0
3+ Conditions,7,1,0,exit,2016-12-01,2016-12-31,Q13b2,unknown_household_type,0
Condition Unknown,4,2,1,exit,2016-12-01,2016-12-31,Q13b2,without_children,1
Condition Unknown,4,2,1,exit,2016-12-01,2016-12-31,Q13b2,with_only_children,0
Condition Unknown,4,2,1,exit,2016-12-01,2016-12-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2016-12-01,2016-12-31,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2016-12-01,2016-12-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2016-12-01,2016-12-31,Q13b2,unknown_household_type,0
Data Not Collected,0,0,0,exit,2016-12-01,2016-12-31,Q13b2,without_children,0
Data Not Collected,0,0,0,exit,2016-12-01,2016-12-31,Q13b2,with_only_children,0
Data Not Collected,0,0,0,exit,2016-12-01,2016-12-31,Q13b2,unknown_household_type,0
