"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",13,0.05
"""Income and Sources (4.2) at Start""",382,0.27
"""Income and Sources (4.2) at Annual Assessment""",368,0.77
"""Income and Sources (4.2) at Exit""",102,0.49
