, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1679,1043,589,34,13
"""Hispanic/Latin(a)(o)(x)""",188,63,117,8,0
"""Client Doesn't Know/Client Refused""",8,6,1,0,1
"""Data Not Collected""",19,6,6,2,5
"""Total""",1894,1118,713,44,19
