"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",239,190
"""1-3 days""",28,15
"""4-6 days""",7,3
"""7-10 days""",11,6
"""11+ days""",35,70
