"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",17,0.04
"""Income and Sources (4.2) at Start""",219,0.27
"""Income and Sources (4.2) at Annual Assessment""",82,0.59
"""Income and Sources (4.2) at Exit""",166,0.54
