, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1072,544,509,14,5
"""Hispanic/Latin(a)(o)(x)""",115,35,79,1,0
"""Client Doesn't Know/Client Refused""",2,0,2,0,0
"""Data Not Collected""",2,0,1,0,1
"""Total""",1191,579,591,15,6
