"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",548,327,221
"""31 to 60 days""",155,27,128
"""61 to 90 days""",59,21,38
"""91 to 180 days""",141,9,132
"""181 to 365 days""",109,12,97
"""366 to 730 Days (1-2 Yrs)""",83,6,77
"""731 to 1,095 Days (2-3 Yrs)""",26,0,26
"""1,096 to 1,460 Days (3-4 Yrs)""",29,0,29
"""1,461 to 1,825 Days (5-5 Yrs)""",8,0,8
"""More than 1,825 Days (>5 Yrs)""",33,0,33
"""Data Not Collected""",0,0,0
"""Total""",1191,402,789
