"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",352,286
"""1-3 days""",38,19
"""4-6 days""",21,12
"""7-10 days""",12,4
"""11+ days""",98,80
