"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",7,0.04
"""Income and Sources (4.2) at Start""",66,0.15
"""Income and Sources (4.2) at Annual Assessment""",74,0.66
"""Income and Sources (4.2) at Exit""",20,0.18
