, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",549,305,233,10,1
"""Hispanic/Latin(a)(o)(x)""",42,22,19,1,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",2,0,0,0,2
"""Total""",594,327,253,11,3
