"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",36,17
"""1-3 days""",16,3
"""4-6 days""",1,0
"""7-10 days""",8,7
"""11+ days""",122,129
