"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",196,97,99
"""31 to 60 days""",92,20,72
"""61 to 90 days""",56,6,50
"""91 to 180 days""",90,25,65
"""181 to 365 days""",31,4,27
"""366 to 730 Days (1-2 Yrs)""",54,3,51
"""731 to 1,095 Days (2-3 Yrs)""",17,0,17
"""1,096 to 1,460 Days (3-4 Yrs)""",3,0,3
"""1,461 to 1,825 Days (5-5 Yrs)""",5,0,5
"""More than 1,825 Days (>5 Yrs)""",50,1,49
"""Data Not Collected""",0,0,0
"""Total""",594,156,438
