data_element,client_doesn_t_know_refused,information_missing,data_issues,total,percent_of_error_rate,population,start_date,end_date,question
Name (3.1),3,0,10,13,0.01,data_quality,2022-05-01,2022-05-31,Q6a
Social Security Number (3.2),147,108,90,345,0.18,data_quality,2022-05-01,2022-05-31,Q6a
Date of Birth (3.3),5,14,0,19,0.01,data_quality,2022-05-01,2022-05-31,Q6a
Race (3.4),6,20,0,26,0.01,data_quality,2022-05-01,2022-05-31,Q6a
Ethinicity (3.5),8,18,0,26,0.01,data_quality,2022-05-01,2022-05-31,Q6a
Gender (3.6),0,9,0,9,0.0,data_quality,2022-05-01,2022-05-31,Q6a
Overall Score,0,0,0,370,0.2,data_quality,2022-05-01,2022-05-31,Q6a
