, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",480,244,226,6,4
"""Hispanic/Latin(a)(o)(x)""",50,20,29,1,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",3,1,0,0,2
"""Total""",533,265,255,7,6
