"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",65,38
"""1-3 days""",4,16
"""4-6 days""",8,4
"""7-10 days""",6,6
"""11+ days""",39,58
