"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",139,39,100
"""31 to 60 days""",80,17,63
"""61 to 90 days""",59,14,45
"""91 to 180 days""",87,29,58
"""181 to 365 days""",45,15,30
"""366 to 730 Days (1-2 Yrs)""",33,8,25
"""731 to 1,095 Days (2-3 Yrs)""",6,0,6
"""1,096 to 1,460 Days (3-4 Yrs)""",14,0,14
"""1,461 to 1,825 Days (5-5 Yrs)""",12,0,12
"""More than 1,825 Days (>5 Yrs)""",58,0,58
"""Data Not Collected""",0,0,0
"""Total""",533,122,411
