count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,151,18,31,exit,2019-11-01,2019-11-30,Q13b2,without_children,99
None,151,18,31,exit,2019-11-01,2019-11-30,Q13b2,with_only_children,3
None,151,18,31,exit,2019-11-01,2019-11-30,Q13b2,unknown_household_type,0
1 Condition,49,4,0,exit,2019-11-01,2019-11-30,Q13b2,without_children,45
1 Condition,49,4,0,exit,2019-11-01,2019-11-30,Q13b2,with_only_children,0
1 Condition,49,4,0,exit,2019-11-01,2019-11-30,Q13b2,unknown_household_type,0
2 Conditions,24,1,0,exit,2019-11-01,2019-11-30,Q13b2,without_children,23
2 Conditions,24,1,0,exit,2019-11-01,2019-11-30,Q13b2,with_only_children,0
2 Conditions,24,1,0,exit,2019-11-01,2019-11-30,Q13b2,unknown_household_type,0
3+ Conditions,17,0,0,exit,2019-11-01,2019-11-30,Q13b2,without_children,17
3+ Conditions,17,0,0,exit,2019-11-01,2019-11-30,Q13b2,with_only_children,0
3+ Conditions,17,0,0,exit,2019-11-01,2019-11-30,Q13b2,unknown_household_type,0
Condition Unknown,54,0,0,exit,2019-11-01,2019-11-30,Q13b2,without_children,54
Condition Unknown,54,0,0,exit,2019-11-01,2019-11-30,Q13b2,with_only_children,0
Condition Unknown,54,0,0,exit,2019-11-01,2019-11-30,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-11-01,2019-11-30,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-11-01,2019-11-30,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,exit,2019-11-01,2019-11-30,Q13b2,unknown_household_type,0
Data Not Collected,6,1,3,exit,2019-11-01,2019-11-30,Q13b2,without_children,2
Data Not Collected,6,1,3,exit,2019-11-01,2019-11-30,Q13b2,with_only_children,0
Data Not Collected,6,1,3,exit,2019-11-01,2019-11-30,Q13b2,unknown_household_type,0
