age_group,total_parenting_youth,total_children_of_parenting_youth,total_persons,total_households,population,start_date,end_date,question
Parent youth < 18,0,0,0,0,parenting_youth,2019-11-01,2019-11-30,Q27b
Parent youth 18 to 24,11,14,25,10,parenting_youth,2019-11-01,2019-11-30,Q27b
