data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),49,0.28,data_quality,2015-02-01,2015-02-28,Q6c
Income and Sources (4.2) at Start,64,0.14,data_quality,2015-02-01,2015-02-28,Q6c
Income and Sources (4.2) at Annual Assessment,83,0.87,data_quality,2015-02-01,2015-02-28,Q6c
Income and Sources (4.2) at Exit,11,0.08,data_quality,2015-02-01,2015-02-28,Q6c
