"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",5,0.02
"""Income and Sources (4.2) at Start""",297,0.22
"""Income and Sources (4.2) at Annual Assessment""",355,0.77
"""Income and Sources (4.2) at Exit""",66,0.43
