"""""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",27,10,17
"""31 to 60 days""",2,0,2
"""61 to 90 days""",13,1,12
"""91 to 180 days""",18,1,17
"""181 to 365 days""",10,0,10
"""366 to 730 Days (1-2 Yrs)""",8,0,8
"""731 to 1,095 Days (2-3 Yrs)""",7,0,7
"""1,096 to 1,460 Days (3-4 Yrs)""",4,0,4
"""1,461 to 1,825 Days (5-5 Yrs)""",2,0,2
"""More than 1,825 Days (>5 Yrs)""",6,0,6
"""Data Not Collected""",0,0,0
"""Total""",97,12,85
