, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",1519,998,480,27,14
"""Hispanic/Latin(a)(o)(x)""",163,56,99,8,0
"""Client Doesn't Know/Client Refused""",6,4,1,0,1
"""Data Not Collected""",17,4,5,2,6
"""Total""",1705,1062,585,37,21
