"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",159,127
"""1-3 days""",26,18
"""4-6 days""",10,4
"""7-10 days""",6,7
"""11+ days""",60,46
