"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",96,69
"""1-3 days""",16,9
"""4-6 days""",2,1
"""7-10 days""",9,6
"""11+ days""",90,48
