"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",225,87,138
"""31 to 60 days""",96,14,82
"""61 to 90 days""",70,14,56
"""91 to 180 days""",142,16,126
"""181 to 365 days""",62,1,61
"""366 to 730 Days (1-2 Yrs)""",29,0,29
"""731 to 1,095 Days (2-3 Yrs)""",5,1,4
"""1,096 to 1,460 Days (3-4 Yrs)""",10,0,10
"""1,461 to 1,825 Days (5-5 Yrs)""",16,0,16
"""More than 1,825 Days (>5 Yrs)""",59,0,59
"""Data Not Collected""",0,0,0
"""Total""",714,133,581
