"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",3,0.02
"""Income and Sources (4.2) at Start""",54,0.11
"""Income and Sources (4.2) at Annual Assessment""",87,0.8
"""Income and Sources (4.2) at Exit""",6,0.06
