, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",632,278,349,4,1
"""Hispanic/Latin(a)(o)(x)""",70,23,46,1,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",3,1,0,0,2
"""Total""",705,302,395,5,3
