"""Length""", "Total" , "Leavers" , "Stayers"
"""30 days or less""",267,74,193
"""31 to 60 days""",129,30,99
"""61 to 90 days""",73,20,53
"""91 to 180 days""",82,22,60
"""181 to 365 days""",34,0,34
"""366 to 730 Days (1-2 Yrs)""",31,3,28
"""731 to 1,095 Days (2-3 Yrs)""",4,0,4
"""1,096 to 1,460 Days (3-4 Yrs)""",15,0,15
"""1,461 to 1,825 Days (5-5 Yrs)""",12,0,12
"""More than 1,825 Days (>5 Yrs)""",58,0,58
"""Data Not Collected""",0,0,0
"""Total""",705,149,556
