"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",7,0.05
"""Income and Sources (4.2) at Start""",58,0.12
"""Income and Sources (4.2) at Annual Assessment""",81,0.75
"""Income and Sources (4.2) at Exit""",7,0.07
