, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",559,233,322,3,1
"""Hispanic/Latin(a)(o)(x)""",48,22,25,1,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",608,255,347,4,2
