"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",11,0.07
"""Income and Sources (4.2) at Start""",63,0.16
"""Income and Sources (4.2) at Annual Assessment""",75,0.77
"""Income and Sources (4.2) at Exit""",14,0.16
