"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",104,62
"""1-3 days""",16,7
"""4-6 days""",5,17
"""7-10 days""",9,7
"""11+ days""",48,59
