data_element,error_count,percent_of_error_rate,population,start_date,end_date,question
Destination (3.12),1,0.02,data_quality,2018-07-01,2018-07-31,Q6c
Income and Sources (4.2) at Start,42,0.12,data_quality,2018-07-01,2018-07-31,Q6c
Income and Sources (4.2) at Annual Assessment,49,0.56,data_quality,2018-07-01,2018-07-31,Q6c
Income and Sources (4.2) at Exit,2,0.05,data_quality,2018-07-01,2018-07-31,Q6c
