, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",555,310,242,2,1
"""Hispanic/Latin(a)(o)(x)""",43,24,19,0,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",599,334,261,2,2
