"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",49,0.28
"""Income and Sources (4.2) at Start""",64,0.14
"""Income and Sources (4.2) at Annual Assessment""",83,0.87
"""Income and Sources (4.2) at Exit""",11,0.08
