"""Time for Record Entry""", "Number of Project Entry Records" , "Number of Project Exit Records"
"""0 days""",201,115
"""1-3 days""",7,6
"""4-6 days""",11,1
"""7-10 days""",20,13
"""11+ days""",100,154
