"""Data Element""", "Error Count" , "% of Error Rate"
"""Destination (3.12)""",46,0.16
"""Income and Sources (4.2) at Start""",154,0.22
"""Income and Sources (4.2) at Annual Assessment""",67,0.55
"""Income and Sources (4.2) at Exit""",96,0.37
