, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Non-Hispanic/Non-Latin(a)(o)(x)""",825,532,275,11,7
"""Hispanic/Latin(a)(o)(x)""",83,39,44,0,0
"""Client Doesn't Know/Client Refused""",1,0,1,0,0
"""Data Not Collected""",1,0,0,0,1
"""Total""",910,571,320,11,8
